Temperature (K),B2V (Hard Sphere (Å^3/mol)),B2V (Square Well(Å^3/mol)),B2V (Lennard-Jones(Å^3/mol))
393.0,4.938359897252319e+25,8.96680914218914e+24,9.448192748957551e+22
394.0,4.938359897252319e+25,9.085235374400418e+24,1.9654764653465897e+23
395.0,4.938359897252319e+25,9.202973928886526e+24,2.9802038850816132e+23
396.0,4.938359897252319e+25,9.320030745669947e+24,3.989050605128287e+23
397.0,4.938359897252319e+25,9.43641169688505e+24,4.9920651623322927e+23
398.0,4.938359897252319e+25,9.552122587741198e+24,5.989295566584803e+23
399.0,4.938359897252319e+25,9.667169157469133e+24,6.980789307921123e+23
400.0,4.938359897252319e+25,9.781557080252026e+24,7.966593363516567e+23
401.0,4.938359897252319e+25,9.89529196614031e+24,8.946754204562791e+23
402.0,4.938359897252319e+25,1.0008379361951527e+25,9.921317803036291e+23
403.0,4.938359897252319e+25,1.0120824752155023e+25,1.0890329638357567e+24
404.0,4.938359897252319e+25,1.0232633559741725e+25,1.1853834703945712e+24
405.0,4.938359897252319e+25,1.0343811147079768e+25,1.281187751366921e+24
406.0,4.938359897252319e+25,1.0454362816755689e+25,1.376450210819028e+24
407.0,4.938359897252319e+25,1.0564293812401717e+25,1.4711752061215752e+24
408.0,4.938359897252319e+25,1.0673609319509542e+25,1.565367048564207e+24
409.0,4.938359897252319e+25,1.0782314466230532e+25,1.6590300039609025e+24
410.0,4.938359897252319e+25,1.0890414324163058e+25,1.7521682932456068e+24
411.0,4.938359897252319e+25,1.0997913909126567e+25,1.8447860930585865e+24
412.0,4.938359897252319e+25,1.1104818181923393e+25,1.9368875363236525e+24
413.0,4.938359897252319e+25,1.1211132049087925e+25,2.0284767128163823e+24
414.0,4.938359897252319e+25,1.1316860363623684e+25,2.1195576697235037e+24
415.0,4.938359897252319e+25,1.1422007925728442e+25,2.2101344121935677e+24
416.0,4.938359897252319e+25,1.1526579483507722e+25,2.3002109038792212e+24
417.0,4.938359897252319e+25,1.1630579733676663e+25,2.389791067471163e+24
418.0,4.938359897252319e+25,1.1734013322250704e+25,2.478878785223664e+24
419.0,4.938359897252319e+25,1.1836884845225145e+25,2.56747789947227e+24
420.0,4.938359897252319e+25,1.193919884924381e+25,2.6555922131433255e+24
421.0,4.938359897252319e+25,1.2040959832257278e+25,2.7432254902561394e+24
422.0,4.938359897252319e+25,1.214217224417035e+25,2.8303814564169804e+24
423.0,4.938359897252319e+25,1.224284048747929e+25,2.917063799306163e+24
424.0,4.938359897252319e+25,1.2342968917899254e+25,3.003276169157019e+24
425.0,4.938359897252319e+25,1.2442561844981514e+25,3.089022179228556e+24
426.0,4.938359897252319e+25,1.2541623532721113e+25,3.174305406270001e+24
427.0,4.938359897252319e+25,1.2640158200154968e+25,3.2591293909793943e+24
428.0,4.938359897252319e+25,1.273817002195052e+25,3.3434976384542667e+24
429.0,4.938359897252319e+25,1.2835663128985353e+25,3.4274136186364844e+24
430.0,4.938359897252319e+25,1.2932641608917628e+25,3.510880766749788e+24
431.0,4.938359897252319e+25,1.3029109506747787e+25,3.5939024837313035e+24
432.0,4.938359897252319e+25,1.3125070825371325e+25,3.6764821366562454e+24
433.0,4.938359897252319e+25,1.3220529526123345e+25,3.7586230591567474e+24
434.0,4.938359897252319e+25,1.3315489529314508e+25,3.8403285518341074e+24
435.0,4.938359897252319e+25,1.3409954714758576e+25,3.921601882665239e+24
436.0,4.938359897252319e+25,1.350392892229235e+25,4.002446287402915e+24
437.0,4.938359897252319e+25,1.3597415952287097e+25,4.08286496997056e+24
438.0,4.938359897252319e+25,1.3690419566152609e+25,4.1628611028506385e+24
439.0,4.938359897252319e+25,1.3782943486833262e+25,4.242437827467957e+24
440.0,4.938359897252319e+25,1.3874991399296716e+25,4.3215982545670976e+24
441.0,4.938359897252319e+25,1.396656695101516e+25,4.400345464584311e+24
442.0,4.938359897252319e+25,1.4057673752439418e+25,4.4786825080143796e+24
443.0,4.938359897252319e+25,1.4148315377465542e+25,4.5566124057716365e+24
444.0,4.938359897252319e+25,1.4238495363894764e+25,4.6341381495462914e+24
445.0,4.938359897252319e+25,1.4328217213886382e+25,4.7112627021553834e+24
446.0,4.938359897252319e+25,1.4417484394403851e+25,4.7879889978886125e+24
447.0,4.938359897252319e+25,1.4506300337654296e+25,4.86431994284953e+24
